City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,longyearbyen,78.2186,15.6401,5.91,87,75,1.54,SJ,1687114325
448,ushtobe,45.2514,77.9838,23.42,21,100,3.04,KZ,1687114325
449,innisfail,-17.5333,146.0333,17.32,86,100,1.76,AU,1687114325
450,namibe,-15.1961,12.1522,18.23,82,6,0.38,AO,1687114325
451,grand island,40.925,-98.342,29.1,46,0,4.63,US,1687114251
452,port hedland,-20.3167,118.5667,19.03,59,100,5.14,AU,1687114326
453,tashtyp,52.7939,89.8983,14.82,67,79,0.38,RU,1687114327
454,lalganj,25.8667,85.1833,31.97,67,41,5.79,IN,1687114327
455,saint-andre-avellin,45.7168,-75.066,22.21,82,99,2.76,CA,1687114327
456,ormara,25.2088,64.6357,29.03,81,94,5.42,PK,1687114328
457,koumac,-20.5667,164.2833,19.01,74,0,2.27,NC,1687114328
458,luanshya,-13.1367,28.4166,12.85,38,0,2.35,ZM,1687114328
459,semey,50.4111,80.2275,22.05,43,24,4.36,KZ,1687114328
460,riyadh,24.6877,46.7219,36.08,13,60,3.77,SA,1687114161
461,eyemouth,55.8713,-2.0901,17.12,94,100,4.79,GB,1687114329
462,novokayakent,42.3937,47.9861,22.38,73,100,2.54,RU,1687114329
463,tak bai,6.2595,102.0546,26.99,87,100,2.33,TH,1687114329
464,guamo,4.0308,-74.9701,33.79,42,100,3.18,CO,1687114329
465,finnsnes,69.2296,17.9811,25.34,51,33,1.51,NO,1687114329
466,wittingen,52.7269,10.7361,26.0,56,98,2.83,DE,1687114330
467,christchurch,-43.5333,172.6333,12.73,89,100,7.72,NZ,1687113618
468,knysna,-34.0363,23.0471,12.18,80,36,2.31,ZA,1687114330
469,port keats,-14.25,129.55,18.59,45,14,2.69,AU,1687114330
470,aktau,43.65,51.2,23.32,76,87,7.59,KZ,1687114330
471,teruel,40.6667,-0.6667,19.35,52,100,4.66,ES,1687114331
472,morros,-9.4467,-46.3003,33.05,30,0,2.88,BR,1687114331
473,turukhansk,65.8167,87.9833,3.76,90,100,4.19,RU,1687114331
474,dudinka,69.4058,86.1778,6.46,94,100,6.13,RU,1687114331
475,penzance,50.1186,-5.5371,20.43,86,2,5.06,GB,1687113868
476,mombasa,-4.0547,39.6636,25.23,88,75,2.06,KE,1687114332
477,oktyabrskiy,54.4815,53.471,9.04,57,7,5.09,RU,1687114332
478,eucaliptus,-17.5833,-67.5167,14.29,16,77,4.22,BO,1687114332
479,shenjiamen,29.9576,122.298,22.52,98,100,0.89,CN,1687114333
480,little current,45.9793,-81.9248,23.01,63,6,3.64,CA,1687114333
481,chota,-6.55,-78.65,17.16,59,28,3.89,PE,1687114333
482,olinda,-8.0089,-34.8553,27.85,78,75,3.6,BR,1687114209
483,stornoway,58.2093,-6.3865,20.58,63,95,2.57,GB,1687114333
484,lethem,3.3803,-59.7968,25.03,94,75,5.14,GY,1687114334
485,znamenskoye,57.1281,73.8282,9.5,50,99,3.15,RU,1687114334
486,seoul,37.5683,126.9778,22.78,78,0,2.06,KR,1687114334
487,daytona beach,29.2108,-81.0228,33.94,64,75,5.14,US,1687114244
488,diamantino,-14.4086,-56.4461,28.85,38,1,2.26,BR,1687114280
489,sola,-13.8833,167.55,25.52,75,100,8.82,VU,1687114396
490,acapulco,16.8634,-99.8901,33.9,59,20,5.14,MX,1687114336
491,monterey,36.2505,-121.2516,25.44,33,10,5.25,US,1687114396
492,faanui,-16.4833,-151.75,27.2,73,46,5.18,PF,1687114396
493,harlingen,26.1906,-97.6961,34.98,59,0,8.75,US,1687114397
494,matagami,49.7502,-77.6328,22.06,53,40,3.09,CA,1687114397
495,lorengau,-2.0226,147.2712,26.39,83,47,1.94,PG,1687114397
496,wattegama,6.7989,81.4808,23.9,86,92,1.3,LK,1687114397
497,nome,64.5011,-165.4064,3.98,100,100,7.72,US,1687114398
498,stephenville crossing,48.5,-58.4318,18.07,55,75,6.69,CA,1687114398
499,bhuj,23.2667,69.6667,28.78,74,58,6.39,IN,1687113808
500,mandalgovi,45.7625,106.2708,13.21,67,9,5.6,MN,1687114398
501,udachnyy,66.4167,112.4,11.92,100,100,5.31,RU,1687114399
502,beringovskiy,63.05,179.3167,7.78,67,0,3.94,RU,1687114399
503,launceston,-41.45,147.1667,5.45,89,79,5.14,AU,1687114399
504,ugento,39.9263,18.1574,24.04,61,0,5.36,IT,1687114399
505,jinji,23.2281,110.8261,25.34,93,82,1.03,CN,1687114399
506,ingham,42.6,-84.3833,29.24,29,0,2.06,US,1687114393
507,hay river,60.8156,-115.7999,14.99,63,75,3.09,CA,1687114400
508,choya,52.0108,86.5467,14.41,87,14,0.62,RU,1687114400
509,moose factory,51.2585,-80.6094,24.0,53,0,6.17,CA,1687114400
510,humaita,-7.5061,-63.0208,32.78,40,48,1.96,BR,1687114401
511,cookeville,36.1628,-85.5016,29.99,58,0,3.6,US,1687114401
512,bowen,-20.0167,148.2333,16.75,88,7,2.69,AU,1687114401
513,parabel,58.6978,81.4825,6.36,62,26,1.54,RU,1687114401
514,sinjar,36.3209,41.8754,27.59,30,0,6.4,IQ,1687114401
515,marquette,46.5333,-87.6335,27.36,50,70,0.89,US,1687114402
516,saint anthony,45.0205,-93.218,25.08,66,20,5.14,US,1687114402
517,taoudenni,22.6783,-3.9836,41.44,9,4,2.97,ML,1687114402
518,banda aceh,5.5577,95.3222,26.87,80,99,5.15,ID,1687114402
519,hovd,48.0056,91.6419,17.91,32,52,0.58,MN,1687114403
520,los zacatones,22.95,-102.05,30.93,13,0,5.71,MX,1687114403
521,nemuro,43.3236,145.575,9.89,90,43,5.31,JP,1687114403
522,soyo,-6.1349,12.3689,22.45,87,62,4.35,AO,1687114403
523,vila velha,-20.3297,-40.2925,23.97,81,75,6.17,BR,1687114291
524,sakakah,29.9697,40.2064,33.76,24,0,3.93,SA,1687114404
525,leh,34.1667,77.5833,13.17,44,33,2.0,IN,1687114404
526,alyangula,-13.8483,136.4192,22.12,78,100,4.06,AU,1687114404
527,domoni,-12.2569,44.5319,24.56,77,4,2.38,KM,1687114404
528,alta floresta,-9.8756,-56.0861,33.9,38,20,4.63,BR,1687114404
529,ouesso,1.6136,16.0517,22.73,95,100,0.97,CG,1687114405
530,shubarkuduk,49.1447,56.4872,17.96,79,99,9.98,KZ,1687114405
531,sabzevar,36.2126,57.6819,30.14,15,0,2.62,IR,1687114405
532,kobryn,52.2138,24.3564,17.97,94,32,1.0,BY,1687114405
533,callaguip,18.0714,120.4867,25.01,100,20,1.54,PH,1687114405
534,puerto carreno,6.189,-67.4859,25.99,78,75,3.09,CO,1687114406
535,baykit,61.67,96.37,3.91,85,11,0.94,RU,1687114406
536,segezha,63.7415,34.3222,12.64,65,100,1.95,RU,1687114406
537,savannah bight,16.45,-85.85,28.36,81,30,9.6,HN,1687114406
538,waitara,-38.925,174.25,14.72,84,97,5.0,NZ,1687114407
539,paamiut,61.994,-49.6678,3.97,73,100,11.77,GL,1687114407
540,samarai,-10.6167,150.6667,24.87,79,58,4.98,PG,1687114407
541,north bend,43.4065,-124.2243,15.14,72,100,4.12,US,1687114407
542,acajutla,13.5928,-89.8275,31.27,63,1,3.17,SV,1687114407
543,tsuruoka,38.7217,139.8217,14.94,86,6,0.46,JP,1687114368
544,mossendjo,-2.9506,12.7261,22.67,87,100,1.41,CG,1687114408
545,mudhol,16.35,75.2833,26.31,69,97,7.75,IN,1687114408
546,portland,45.5234,-122.6762,15.87,81,100,3.09,US,1687113919
547,baghdad,33.3406,44.4009,30.95,27,0,2.06,IQ,1687114470
548,ulaanbaatar,47.9077,106.8832,9.07,87,40,3.0,MN,1687114470
549,ormond beach,29.2858,-81.0559,32.84,66,75,2.24,US,1687114219
550,altamira,-3.2033,-52.2064,31.05,70,40,2.06,BR,1687114446
551,goedereede,51.8175,3.9806,24.43,57,100,6.16,NL,1687114470
552,kaupanger,61.1845,7.2404,19.27,82,75,0.0,NO,1687114470
553,cristalina,-16.7686,-47.6136,24.77,27,0,1.6,BR,1687114471
554,codrington,-38.2667,141.9667,8.36,71,100,6.29,AU,1687114471
555,novyy urengoy,66.0833,76.6333,2.77,88,100,5.24,RU,1687114471
556,sangar,63.9242,127.4739,12.94,64,100,3.7,RU,1687114471
557,bull savanna,17.8868,-77.5902,29.29,63,100,7.61,JM,1687114471
558,ringe,55.2451,10.4706,17.9,73,46,2.03,DK,1687114472
559,asfi,32.2994,-9.2372,21.45,79,78,5.15,MA,1687114472
560,xining,36.6167,101.7667,12.88,52,8,1.06,CN,1687114472
561,sumenep,-7.0167,113.8667,24.75,82,0,1.88,ID,1687114473
562,medeiros neto,-17.3739,-40.2206,23.95,78,100,3.63,BR,1687114334
563,sibu,2.3,111.8167,24.17,100,40,1.54,MY,1687114473
564,wanning,18.8003,110.3967,27.11,90,65,4.38,CN,1687114473
565,channel-port aux basques,47.5702,-59.1367,10.69,87,98,9.35,CA,1687114473
566,koplik,42.2136,19.4364,24.78,72,0,1.28,AL,1687114474
567,sabang,5.8933,95.3214,28.47,76,98,7.98,ID,1687114474
568,lerwick,60.1545,-1.1494,13.0,85,71,4.54,GB,1687114474
569,raudeberg,61.9875,5.1352,13.81,52,100,1.91,NO,1687114474
570,wodonga,-36.1167,146.8833,7.93,100,100,1.77,AU,1687114475
571,deputatskiy,69.3,139.9,13.49,41,90,3.38,RU,1687114475
572,huaiyin,33.5886,119.0192,20.81,94,100,4.8,CN,1687114475
573,lasa,46.6166,10.7002,22.49,90,98,1.47,IT,1687114475
574,nyurba,63.2842,118.3319,13.72,70,93,1.58,RU,1687114475
575,santa maria,-29.6842,-53.8069,15.61,51,40,2.06,BR,1687114476
576,tezu,27.9167,96.1667,23.58,98,100,0.94,IN,1687114476
577,perelyub,51.8667,50.3667,13.03,54,0,5.6,RU,1687114476
